#1,,,,,,,,,,#2,,,,,,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,,Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá
,,62225,COGS62225,24/7 department - Provision for bonuses,賞与引当金繰入額,賞与引当金繰入額,24/7 department - Provision for bonuses,Chi phí nhân công trực tiếp - Dự phòng tiền thưởng,,,,62225,COGS62225,24/7 department - Provision for bonuses,賞与引当金繰入 SS Project,賞与引当金繰入額,24/7 department - Provision for bonuses,Chi phí nhân công trực tiếp - Dự phòng tiền thưởng,
,,62226,COGS62226,24/7 department - Business trip allowance,給与,0,24/7 department - Business trip allowance,Chi phí nhân công trực tiếp - Công tác phí,,,,62226,COGS62226,24/7 department - Business trip allowance,給与 SS Project,0,24/7 department - Business trip allowance,Chi phí nhân công trực tiếp - Công tác phí,
,6223,,,0,0,直接労務費,Direct labor cost - UI/UX department,Chi phí nhân công trực tiếp - Bộ phận UI/UX,,,,62227,COGS62227,Severance allowance,給与 SS Project,0,Severance allowance,Trợ cấp thôi việc,
,,62231,COGS62231,UI/UX department - Salary,給与,給与,UI/UX department - Salary,Chi phí nhân công trực tiếp - Lương,,,6223,,,0,0,直接労務費,Direct labor cost - UI/UX department,Chi phí nhân công trực tiếp - Bộ phận UI/UX,
,,62232,COGS62232,UI/UX department - Insurance,給与,保険料,UI/UX department - Insurance,Chi phí nhân công trực tiếp - Bảo hiểm,,,,62231,COGS62231,UI/UX department - Salary,給与 UBILQULAR,給与,UI/UX department - Salary,Chi phí nhân công trực tiếp - Lương,
,,62233,COGS62233,UI/UX department - Union fee,給与,労働組合費,UI/UX department - Union fee,Chi phí nhân công trực tiếp - KPCĐ,,,,62232,COGS62232,UI/UX department - Insurance,給与 UBILQULAR,保険料,UI/UX department - Insurance,Chi phí nhân công trực tiếp - Bảo hiểm,
,,62234,COGS62234,UI/UX department - Bonus,賞与金,ボーナス,UI/UX department - Bonus,Tiền thưởng,,,,62233,COGS62233,UI/UX department - Union fee,給与 UBILQULAR,労働組合費,UI/UX department - Union fee,Chi phí nhân công trực tiếp - KPCĐ,
,,62235,COGS62235,UI/UX department - Provision for bonuses,賞与引当金繰入額,賞与引当金繰入額,UI/UX department - Provision for bonuses,Chi phí nhân công trực tiếp - Dự phòng tiền thưởng,,,,62234,COGS62234,UI/UX department - Bonus,賞与金 UBILQULAR,ボーナス,UI/UX department - Bonus,Tiền thưởng,
,,62236,COGS62236,UI/UX department - Business trip allowance,給与,0,UI/UX department - Business trip allowance,Chi phí nhân công trực tiếp - Công tác phí,,,,62235,COGS62235,UI/UX department - Provision for bonuses,賞与引当金繰入 UBILQULAR,賞与引当金繰入額,UI/UX department - Provision for bonuses,Chi phí nhân công trực tiếp - Dự phòng tiền thưởng,
,6228,,,0,0,直接労務費,Direct labor cost - Marketing department,Chi phí nhân công trực tiếp - Bộ phận bán hàng,,,,62236,COGS62236,UI/UX department - Business trip allowance,給与 UBILQULAR,0,UI/UX department - Business trip allowance,Chi phí nhân công trực tiếp - Công tác phí,
,,62281,COGS62281,Marketing department - Salary,給与,給与,Marketing department - Salary,Chi phí nhân công trực tiếp - Lương,,,,62237,COGS62237,Severance allowance,給与 UBILQULAR,0,Severance allowance,Trợ cấp thôi việc,
,,62282,COGS62282,Marketing department - Insurance,給与,保険料,Marketing department - Insurance,Chi phí nhân công trực tiếp - Bảo hiểm,,,6228,,,,,,,,
,,62283,COGS62283,Marketing department - Union fee,給与,労働組合費,Marketing department - Union fee,Chi phí nhân công trực tiếp - KPCĐ,,,,62281,COGS62281,Salary,給与 SALE,給与,Salary,Lương,
,,62284,COGS62284,Marketing department - Bonus,賞与金,ボーナス,Marketing department - Bonus,Tiền thưởng,,,,62282,COGS62282,Insurance,給与 SALE,保険料,Insurance,Bảo hiểm,
