CÔNG TY TNHH GLORY SOFTWARE VIETNAM,,,,,,,,,,,,,,,,,,,,,,,,,,
Income statement- 損益計算書（月次推移）,,,,,,,,,,,,,,,,,,,,,,,,,,
For the fiscal year end 31/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
単位： Vietnamese Dong,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4月,5月,6月,7月,8月,9月,,10月,11月,12月,1月,2月,3月,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,FY2025,Net amount,COGS/SGA,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62217,COGS62217,Development department - Severance allowance,給与 UBILQULAR,0,Development department - Severance allowance,Bộ phận dự án - Trợ cấp thôi việc,,-,-,-,-,-,-,,-,-,-,-,-,-,-,0,COGS,
,6222,,,0,0,直接労務費,Direct labor cost - 24/7 department,Chi phí nhân công trực tiếp - Bộ phận 247,,"297,297,000","297,297,000","297,297,000","297,297,000","297,297,000","297,297,000",,"297,297,000","297,297,000","297,297,000","297,297,000","297,297,000","297,297,000","3,567,564,000","3,567,564,000",,
,,62221,COGS62221,24/7 department - Salary,給与 SS Project,給与,24/7 department - Salary,Chi phí nhân công trực tiếp - Lương,,"200,200,000","200,200,000","200,200,000","200,200,000","200,200,000","200,200,000",,"200,200,000","200,200,000","200,200,000","200,200,000","200,200,000","200,200,000","2,402,400,000","2,402,400,000",COGS,
,,62222,COGS62222,24/7 department - Insurance,給与 SS Project,保険料,24/7 department - Insurance,Chi phí nhân công trực tiếp - Bảo hiểm,,"43,043,000","43,043,000","43,043,000","43,043,000","43,043,000","43,043,000",,"43,043,000","43,043,000","43,043,000","43,043,000","43,043,000","43,043,000","516,516,000","516,516,000",COGS,
,,62223,COGS62223,24/7 department - Union fee,給与 SS Project,労働組合費,24/7 department - Union fee,Chi phí nhân công trực tiếp - KPCĐ,,"4,004,000","4,004,000","4,004,000","4,004,000","4,004,000","4,004,000",,"4,004,000","4,004,000","4,004,000","4,004,000","4,004,000","4,004,000","48,048,000","48,048,000",COGS,
,,62224,COGS62224,24/7 department - Bonus,賞与金 SS Project,ボーナス,24/7 department - Bonus,Tiền thưởng,,-,-,-,-,-,-,,-,-,-,-,-,-,-,0,COGS,
,,62225,COGS62225,24/7 department - Provision for bonuses,賞与引当金繰入 SS Project,賞与引当金繰入額,24/7 department - Provision for bonuses,Chi phí nhân công trực tiếp - Dự phòng tiền thưởng,,"50,050,000","50,050,000","50,050,000","50,050,000","50,050,000","50,050,000",,"50,050,000","50,050,000","50,050,000","50,050,000","50,050,000","50,050,000","600,600,000","600,600,000",COGS,
,,62226,COGS62226,24/7 department - Business trip allowance,給与 SS Project,0,24/7 department - Business trip allowance,Chi phí nhân công trực tiếp - Công tác phí,,-,-,-,-,-,-,,-,-,-,-,-,-,-,0,COGS,
,,62227,COGS62227,Severance allowance,給与 SS Project,0,Severance allowance,Trợ cấp thôi việc,,-,-,-,-,-,-,,-,-,-,-,-,-,,,,
,6223,,,0,0,直接労務費,Direct labor cost - UI/UX department,Chi phí nhân công trực tiếp - Bộ phận UI/UX,,"70,895,761","70,895,761","70,895,761","70,895,761","70,895,761","70,895,761",,"70,895,761","70,895,761","70,895,761","70,895,761","70,895,761","70,895,761","850,749,136","850,749,136",,
,,62231,COGS62231,UI/UX department - Salary,給与 UBILQULAR,給与,UI/UX department - Salary,Chi phí nhân công trực tiếp - Lương,,"48,998,011","48,998,011","48,998,011","48,998,011","48,998,011","48,998,011",,"48,998,011","48,998,011","48,998,011","48,998,011","48,998,011","48,998,011","587,976,136","587,976,136",COGS,
,,62232,COGS62232,UI/UX department - Insurance,給与 UBILQULAR,保険料,UI/UX department - Insurance,Chi phí nhân công trực tiếp - Bảo hiểm,,"9,707,250","9,707,250","9,707,250","9,707,250","9,707,250","9,707,250",,"9,707,250","9,707,250","9,707,250","9,707,250","9,707,250","9,707,250","116,487,000","116,487,000",COGS,
,,62233,COGS62233,UI/UX department - Union fee,給与 UBILQULAR,労働組合費,UI/UX department - Union fee,Chi phí nhân công trực tiếp - KPCĐ,,"903,000","903,000","903,000","903,000","903,000","903,000",,"903,000","903,000","903,000","903,000","903,000","903,000","10,836,000","10,836,000",COGS,
,,62234,COGS62234,UI/UX department - Bonus,賞与金 UBILQULAR,ボーナス,UI/UX department - Bonus,Tiền thưởng,,-,-,-,-,-,-,,-,-,-,-,-,-,-,0,COGS,
,,62235,COGS62235,UI/UX department - Provision for bonuses,賞与引当金繰入 UBILQULAR,賞与引当金繰入額,UI/UX department - Provision for bonuses,Chi phí nhân công trực tiếp - Dự phòng tiền thưởng,,"11,287,500","11,287,500","11,287,500","11,287,500","11,287,500","11,287,500",,"11,287,500","11,287,500","11,287,500","11,287,500","11,287,500","11,287,500","135,450,000","135,450,000",COGS,
,,62236,COGS62236,UI/UX department - Business trip allowance,給与 UBILQULAR,0,UI/UX department - Business trip allowance,Chi phí nhân công trực tiếp - Công tác phí,,-,-,-,-,-,-,,-,-,-,-,-,-,-,0,COGS,
,,62237,COGS62237,Severance allowance,給与 UBILQULAR,0,Severance allowance,Trợ cấp thôi việc,,-,-,-,-,-,-,,-,-,-,-,-,-,,,,
,6228,,,,,,,,,"178,200,000","178,200,000","178,200,000","178,200,000","178,200,000","178,200,000",,"178,200,000","178,200,000","178,200,000","178,200,000","178,200,000","178,200,000","2,138,400,000",,,
,,62281,COGS62281,Salary,給与 SALE,給与,Salary,Lương,,"120,000,000","120,000,000","120,000,000","120,000,000","120,000,000","120,000,000",,"120,000,000","120,000,000","120,000,000","120,000,000","120,000,000","120,000,000","1,440,000,000","1,440,000,000",COGS,
,,62282,COGS62282,Insurance,給与 SALE,保険料,Insurance,Bảo hiểm,,"25,800,000","25,800,000","25,800,000","25,800,000","25,800,000","25,800,000",,"25,800,000","25,800,000","25,800,000","25,800,000","25,800,000","25,800,000","309,600,000","309,600,000",COGS,
,,62283,COGS62283,Union fee,給与 SALE,労働組合費,Union fee,KPCĐ,,"2,400,000","2,400,000","2,400,000","2,400,000","2,400,000","2,400,000",,"2,400,000","2,400,000","2,400,000","2,400,000","2,400,000","2,400,000","28,800,000","28,800,000",COGS,
,,62284,COGS62284,Bonus,賞与金,ボーナス,Bonus,Tiền thưởng,,-,-,-,-,-,-,,-,-,-,-,-,-,-,0,COGS,
,,62285,COGS62285,Provision for bonuses,賞与引当金繰入 SALE,賞与引当金繰入額,Provision for bonuses,Dự phòng tiền thưởng,,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000",,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","360,000,000","360,000,000",COGS,
,,62286,COGS62286,Business trip allowance,給与 SALE,0,Business trip allowance,Công tác phí,,-,-,-,-,-,-,,-,-,-,-,-,-,-,0,COGS,
,,62287,COGS62287,Severance allowance,給与 SALE,0,Severance allowance,Trợ cấp thôi việc,,-,-,-,-,-,-,,-,-,-,-,-,-,-,0,COGS,
627,,,,0,0,製造間接費,General operation cost,Chi phí sản xuất chung,,"401,950,978","403,727,904","401,494,959","401,327,684","401,256,264","400,607,913",,"523,630,734","397,134,926","397,054,681","401,388,015","401,280,538","398,210,247","4,929,064,839","4,929,064,839",,
,6271,,,0,0,製造従業員,Indirect labour,Chi phí nhân viên phân xưởng,,,,,,,,,,,,,,,-,-,COGS,
,,62711,,0,0,スタッフ,Indirect labour - Employees,Chi phí nhân viên phân xưởng - Nhân viên,,,,,,,,,,,,,,,-,-,COGS,
,,627111,COGS627111,Indirect labour - Employees - Salary,#N/A,給与,Indirect labour - Employees - Salary,Chi phí nhân viên phân xưởng - Nhân viên - Lương,,,,,,,,,,,,,,,-,-,COGS,
,,627112,COGS627112,Indirect labour - Employees - Insurance,#N/A,保険料,Indirect labour - Employees - Insurance,Chi phí nhân viên phân xưởng - Nhân viên - Bảo hiểm,,,,,,,,,,,,,,,-,-,COGS,
,,627113,COGS627113,Indirect labour - Employees - Union fees,#N/A,労働組合費,Indirect labour - Employees - Union fees,Chi phí nhân viên phân xưởng - Nhân viên - KPCĐ,,,,,,,,,,,,,,,-,-,COGS,
,,627114,COGS627114,Indirect labour - Employees - Tax,#N/A,税金,Indirect labour - Employees - Tax,Chi phí nhân viên phân xưởng - Nhân viên - Thuế,,,,,,,,,,,,,,,-,-,COGS,
,,627115,COGS627115,Indirect labour - Employees - Bonus,#N/A,ボーナス,Indirect labour - Employees - Bonus,Chi phí nhân viên phân xưởng - Nhân viên - Tiền thưởng,,,,,,,,,,,,,,,-,-,COGS,
,,62712,,0,0,日本人管理者,Indirect labour - Manager,Chi phí nhân viên phân xưởng - Quản lý người Nhật,,,,,,,,,,,,,,,-,-,COGS,
,,627121,COGS627121,Indirect labour - Manager - Salary,#N/A,給与,Indirect labour - Manager - Salary,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Lương,,,,,,,,,,,,,,,-,-,COGS,
,,627122,COGS627122,Indirect labour - Manager - Insurance,#N/A,保険料,Indirect labour - Manager - Insurance,Chi phí nhân viên phân xưởng - Quản lý người Nhật - Bảo hiểm,,,,,,,,,,,,,,,-,-,COGS,
